Vendor ID | Vendor Name | AAD Vendor Lead Time | AAD Vendor Cutoff Time | AAD Vendor Override date | AAD Vendor Outage Start | AAD Vendor Outage End | Address Line 1 | Address Line 2 | City | State | Zip | ISO Code | Vendor Catalog Name | Model Type
732916000|UD B.I.G. JEWELRY CO. LLC||||||375 Ghent Rd||Akron|OH|44333|US||
732919000|NIRU (NY) LTD||11:59 PM||||375 Ghent Rd||Akron|OH|44333|US||
732923000|GOLDIAM USA INC|15|1:30 PM||||22 WEST 48TH ST.|SUITE 702|NEW YORK|NY|10036|US|GOLDIAM|2
732926000|GM CASTING HOUSE||11:59 PM||||375 Ghent Rd||Akron|OH|44333|US||
732928000|ANTWERP SALES INTERNATIONAL INC||11:59 PM||||375 Ghent Rd||Akron|OH|44333|US||
732934000|H.J. NAMDAR||||||375 Ghent Rd||Akron|OH|44333|US||
732940000|VAISHALI DIAMOND CORP||11:59 PM||||375 Ghent Rd||Akron|OH|44333|US||
732943000|SDIL INC.||||||375 Ghent Rd||Akron|OH|44333|US||
732946000|VIMCO DIAMOND CORPORATION|30|11:59 PM||||375 Ghent Rd||Akron|OH|44333|US||
732947000|UD KIRAN JEWELS||||||375 Ghent Rd||Akron|OH|44333|US||
732949000|UD UNIQUE DESIGNS INC||||||375 Ghent Rd||Akron|OH|44333|US||
732967000|M. LIVI & SONS  / LIVI FANCIES||||||375 Ghent Rd||Akron|OH|44333|US||
732979000|WATCH BUYERS INC (OUTLET)||||||375 Ghent Rd||Akron|OH|44333|US||
732982000|STUHRLING ORIGINAL||||||375 Ghent Rd||Akron|OH|44333|US||
732988000|ORIS WATCHES USA INC||11:59 PM||||375 Ghent Rd||Akron|OH|44333|US||
732991000|UD BEAUTY GEM INC||||||375 Ghent Rd||Akron|OH|44333|US||
732995000|DESIGNS ON FIFTH||11:59 PM||||375 Ghent Rd||Akron|OH|44333|US||
733006000|S. VINODKUMAR DIAMONDS PVT. LTD.||||||375 Ghent Rd||Akron|OH|44333|US||
733010000|HEBEST JEWELRY||||||375 Ghent Rd||Akron|OH|44333|US||
733027000|UD AMERICAN ORIGINALS||||||375 Ghent Rd||Akron|OH|44333|US||
733033000|UD AMIKAM||||||375 Ghent Rd||Akron|OH|44333|US||
733036000|UD ANTWERP SALES INTERNATIONAL||||||375 Ghent Rd||Akron|OH|44333|US||
733045000|UD ASIA PACIFIC||||||375 Ghent Rd||Akron|OH|44333|US||
733046000|UD ATIT DIAMOND CORPORATION||||||375 Ghent Rd||Akron|OH|44333|US||
733048000|UD AURAFIN/OROAMERICA||||||375 Ghent Rd||Akron|OH|44333|US||
733051000|B H MULTI COLOR INC|8|1:30 PM||||15 WEST 46TH ST||NEW YORK|NY|10036|US|EFFY|2
733054000|B H MULTI COM CORP|5|1:30 PM||||15 W. 46TH ST||NEW YORK|NY|10036|US|EFFY TWO|2
733060000|UD BEST BUY PRDCTS UBC||||||375 Ghent Rd||Akron|OH|44333|US||
733066000|UD BULOVA||||||375 Ghent Rd||Akron|OH|44333|US||
733078000|UD CLASSIC IMPORTS INC||||||375 Ghent Rd||Akron|OH|44333|US||
733087000|UD COLOR JEWELS INC||||||375 Ghent Rd||Akron|OH|44333|US||
733091000|UD CONTINENTAL USA INC||||||375 Ghent Rd||Akron|OH|44333|US||
733093000|UD CYBEL TRADING CORP||||||375 Ghent Rd||Akron|OH|44333|US||
733094000|UD DELMAR||||||375 Ghent Rd||Akron|OH|44333|US||
733096000|UD DESIGNS ON FIFTH||||||375 Ghent Rd||Akron|OH|44333|US||
